scenario,year,co2_ppm,total_effective_forcing_wm2,anthropogenic_effective_forcing_wm2,rcmip_co2_effective_forcing_wm2
ssp126,1750,277.147003,0.259367068,0,0
ssp126,1751,277.188001,0.242788114,0.001756263,0.000823549
ssp126,1752,277.229001,0.214655617,0.00369797,0.001647036
ssp126,1753,277.263,0.179488272,0.004707139,0.002329817
ssp126,1754,277.304003,0.145353885,0.004987226,0.003153146
ssp126,1755,277.351003,0.098651144,0.00703343,0.004096748
ssp126,1756,277.389,-0.133032153,0.008562432,0.004859497
ssp126,1757,277.441999,0.016012389,0.008843661,0.005923233
ssp126,1758,277.489001,0.147192448,0.010441407,0.006866449
ssp126,1759,277.539998,0.226591085,0.011487358,0.007889672
ssp126,1760,277.605003,0.261231482,0.011816783,0.009193695
ssp126,1761,277.663999,0.259795206,0.013356894,0.01037692
ssp126,1762,277.732002,-0.664034413,0.015655135,0.011740518
ssp126,1763,277.795998,-0.415601766,0.017507469,0.013023458
ssp126,1764,277.859004,-0.048122205,0.020829214,0.0142863
ssp126,1765,277.913,0.070897668,0.021064017,0.015368335
ssp126,1766,277.958,-0.229307493,0.02304658,0.016269969
ssp126,1767,278.016998,-0.265746612,0.024977115,0.017451845
ssp126,1768,278.077995,0.049881921,0.024859738,0.018673525
ssp126,1769,278.135005,0.221123065,0.026963906,0.019815112
ssp126,1770,278.193998,0.158125581,0.0284695,0.02099619
ssp126,1771,278.270002,0.20679169,0.032155605,0.022517504
ssp126,1772,278.334,0.248712785,0.034802076,0.023798201
ssp126,1773,278.411995,0.237596245,0.036707251,0.025358641
ssp126,1774,278.491,0.204710986,0.036778843,0.026938866
ssp126,1775,278.586004,0.174756172,0.039927799,0.028838548
ssp126,1776,278.682999,0.157259871,0.042705085,0.030777429
ssp126,1777,278.773997,0.163114045,0.044456845,0.032595871
ssp126,1778,278.866,0.209072943,0.045683078,0.034433829
ssp126,1779,278.959002,0.283348935,0.048521798,0.036291184
ssp126,1780,279.054003,0.327445436,0.049830276,0.038187868
ssp126,1781,279.144999,0.329656163,0.05219324,0.040004025
ssp126,1782,279.243001,0.308001709,0.054827636,0.041959409
ssp126,1783,279.339999,-1.51950425,0.057058888,0.043894127
ssp126,1784,279.434001,-3.44041412,0.060112981,0.045768496
ssp126,1785,279.532003,-1.31130381,0.061087427,0.047722011
ssp126,1786,279.629,-0.492673872,0.063551614,0.049654877
ssp126,1787,279.729001,-0.086369104,0.065039304,0.051646949
ssp126,1788,279.830999,0.167807172,0.065935378,0.053678115
ssp126,1789,279.932999,0.315426492,0.068959659,0.055708645
ssp126,1790,280.037003,0.366678876,0.071274577,0.057778368
ssp126,1791,280.140999,0.36298785,0.074371629,0.059847231
ssp126,1792,280.240997,0.349870689,0.076971788,0.061835891
ssp126,1793,280.331998,0.321899915,0.078955507,0.063645066
ssp126,1794,280.415001,0.286532022,0.079176076,0.065294756
ssp126,1795,280.491997,0.251409469,0.081854205,0.066824664
ssp126,1796,280.554995,0.090001781,0.083891729,0.068076159
ssp126,1797,280.623001,-0.033018026,0.084844618,0.069426834
ssp126,1798,280.682004,0.056002925,0.085756307,0.070598468
ssp126,1799,280.752998,0.143443087,0.087860297,0.072007897
ssp126,1800,280.833997,0.192958705,0.08912129,0.073615555
ssp126,1801,280.918999,0.23566036,0.091752613,0.075302189
ssp126,1802,280.993996,0.268337863,0.092857357,0.076789911
ssp126,1803,281.072995,0.289747046,0.095953737,0.078356655
ssp126,1804,281.156998,0.29484214,0.098384119,0.080022161
ssp126,1805,281.233996,0.287677634,0.099638725,0.081548406
ssp126,1806,281.322001,0.275813458,0.102208227,0.083292345
ssp126,1807,281.409002,0.257594437,0.104021288,0.085015884
ssp126,1808,281.496,0.237395252,0.105470788,0.086738879
ssp126,1809,281.565997,-3.33083486,0.108205003,0.088124842
ssp126,1810,281.648003,-2.29017827,0.110419986,0.089748159
ssp126,1811,281.717997,-0.69056559,0.113200038,0.09113338
ssp126,1812,281.789998,-0.088925059,0.115828947,0.092557987
ssp126,1813,281.858002,0.130637583,0.117734597,0.093903202
ssp126,1814,281.931005,0.219753506,0.117983723,0.095346984
ssp126,1815,281.991997,-3.25206267,0.120379554,0.096552995
ssp126,1816,282.059001,-4.22601614,0.12182814,0.097877575
ssp126,1817,282.127001,-1.41327998,0.123522992,0.099221563
ssp126,1818,282.199999,-0.295530995,0.124545621,0.100663981
ssp126,1819,282.272006,0.079272084,0.127157035,0.102086437
ssp126,1820,282.346001,0.192818414,0.128131348,0.103547876
ssp126,1821,282.415004,0.118515613,0.130088114,0.104910394
ssp126,1822,282.477,0.113929858,0.131864655,0.106134314
ssp126,1823,282.540001,-0.222103917,0.133733595,0.107377814
ssp126,1824,282.617996,0.031987002,0.135795743,0.108916918
ssp126,1825,282.676,0.202594997,0.136239768,0.110061326
ssp126,1826,282.692998,0.286902678,0.137353301,0.110396748
ssp126,1827,282.692996,0.327418825,0.136615832,0.110396809
ssp126,1828,282.708003,0.339526382,0.135645978,0.11069289
ssp126,1829,282.760996,0.334322889,0.137571318,0.111738122
ssp126,1830,282.824999,0.313130025,0.135473642,0.113000237
ssp126,1831,282.890996,-2.14049609,0.138579172,0.114301406
ssp126,1832,282.921997,-1.41891638,0.139303432,0.114912636
ssp126,1833,282.965998,-0.355091548,0.139413985,0.115780007
ssp126,1834,283.028,0.046924787,0.138740062,0.11700213
ssp126,1835,283.085999,-1.56239446,0.140092107,0.118145105
ssp126,1836,283.149,-0.909410803,0.138421501,0.119386371
ssp126,1837,283.198001,-0.061583694,0.138651201,0.120351596
ssp126,1838,283.253003,0.246881653,0.137877164,0.121434662
ssp126,1839,283.311,0.334963088,0.138487697,0.122576461
ssp126,1840,283.382001,0.346484826,0.138408082,0.123974135
ssp126,1841,283.466998,0.325506113,0.138786495,0.125646976
ssp126,1842,283.528,0.294683261,0.138973992,0.126847365
ssp126,1843,283.566002,0.267168924,0.140496831,0.127594813
ssp126,1844,283.608999,0.249488034,0.140915996,0.128440355
ssp126,1845,283.724996,0.248448246,0.14097865,0.130721184
ssp126,1846,283.847,0.082645907,0.14495819,0.133118939
ssp126,1847,283.936,0.150871692,0.144517965,0.134867398
ssp126,1848,284.067998,0.244821927,0.145428455,0.137459806
ssp126,1849,284.206998,0.288961076,0.14729175,0.140188526
ssp126,1850,284.316999,0.310824461,0.146519275,0.142347045
ssp126,1851,284.451004,0.312119404,0.149707599,0.144975578
ssp126,1852,284.598002,0.309022319,0.152194204,0.147857663
ssp126,1853,284.730998,0.136887502,0.153837252,0.150463935
ssp126,1854,284.845998,0.089025719,0.149828656,0.152716599
ssp126,1855,284.940999,0.210728567,0.153003818,0.154576796
ssp126,1856,285.048993,0.218082292,0.153437416,0.156690742
ssp126,1857,285.204,0.059697689,0.156156732,0.159723814
ssp126,1858,285.369001,0.210699547,0.159183199,0.162950841
ssp126,1859,285.544996,0.294072222,0.161081334,0.166390803
ssp126,1860,285.738993,0.328347827,0.161513798,0.170180332
ssp126,1861,285.933001,0.268895709,0.16471651,0.173967585
ssp126,1862,286.100001,-0.478745502,0.169373414,0.177225628
ssp126,1863,286.271001,-0.118091175,0.171992689,0.180559966
ssp126,1864,286.442001,0.173190366,0.173752939,0.183892469
ssp126,1865,286.613996,0.273453037,0.174765202,0.187242443
ssp126,1866,286.780998,0.306345499,0.179062167,0.190493343
ssp126,1867,286.955002,0.312878451,0.179720182,0.193878689
ssp126,1868,287.105001,0.328616942,0.182197615,0.196795336
ssp126,1869,287.224999,0.348082439,0.182552342,0.199127489
ssp126,1870,287.354998,0.351102048,0.183645024,0.201653103
ssp126,1871,287.494001,0.361846042,0.183325057,0.204352384
ssp126,1872,287.663996,0.351283457,0.179857167,0.207652059
ssp126,1873,287.860001,0.134261403,0.177156221,0.211454436
ssp126,1874,288.061,0.25101457,0.185081207,0.215351248
ssp126,1875,288.291003,0.253199158,0.185255714,0.219807362
ssp126,1876,288.519997,0.258610477,0.18669111,0.224240713
ssp126,1877,288.752001,0.294559915,0.187711597,0.228729132
ssp126,1878,288.993001,0.30749664,0.191507838,0.233388011
ssp126,1879,289.221001,0.309906527,0.18848352,0.237792253
ssp126,1880,289.469999,0.27958636,0.180519904,0.242598499
ssp126,1881,289.736997,0.29525976,0.181177488,0.247748095
ssp126,1882,290.019002,0.329459931,0.180118131,0.25318238
ssp126,1883,290.263,-0.188130277,0.17752229,0.257880277
ssp126,1884,290.511999,-1.65271067,0.180211637,0.262670687
ssp126,1885,290.796997,-0.489360153,0.184997347,0.268149143
ssp126,1886,291.099996,0.057618408,0.191628993,0.273968261
ssp126,1887,291.413999,0.108548126,0.192457584,0.279992719
ssp126,1888,291.763,0.256148249,0.183993479,0.286681833
ssp126,1889,292.113001,0.314911152,0.193364428,0.29338254
ssp126,1890,292.457998,0.195445583,0.185952851,0.299980336
ssp126,1891,292.815999,0.048696662,0.18640592,0.306819333
ssp126,1892,293.167,0.254992669,0.191836929,0.313516961
ssp126,1893,293.477,0.390238938,0.201855433,0.319425909
ssp126,1894,293.790998,0.4164758,0.201867755,0.325405044
ssp126,1895,294.078997,0.393319384,0.197199597,0.330883807
ssp126,1896,294.364998,0.366210371,0.195614329,0.336319851
ssp126,1897,294.645999,0.343646047,0.189452072,0.341656073
ssp126,1898,294.954,0.329146621,0.182639366,0.347499709
ssp126,1899,295.299998,0.304648059,0.167306291,0.354057399
ssp126,1900,295.674995,0.29359788,0.161562674,0.361156779
ssp126,1901,296.006999,0.28028533,0.157386456,0.367435048
ssp126,1902,296.324999,0.178577121,0.15608961,0.373441717
ssp126,1903,296.653997,-0.61984679,0.138675526,0.379649516
ssp126,1904,296.953995,-0.139973277,0.140838754,0.385304501
ssp126,1905,297.288996,0.174575233,0.128175451,0.391613307
ssp126,1906,297.661997,0.290421799,0.122655411,0.398630192
ssp126,1907,298.097995,0.140105645,0.098227754,0.40682203
ssp126,1908,298.51799,0.241788889,0.128056102,0.414702322
ssp126,1909,298.935992,0.284108629,0.121221134,0.422534951
ssp126,1910,299.376996,0.266237486,0.115971019,0.430787545
ssp126,1911,299.828992,0.258777693,0.12667367,0.439233831
ssp126,1912,300.352992,-0.192128559,0.122339744,0.449012375
ssp126,1913,300.909993,-0.263736199,0.110342093,0.459389268
ssp126,1914,301.418991,0.128079595,0.158630435,0.468855947
ssp126,1915,301.936989,0.325526971,0.172588424,0.478475109
ssp126,1916,302.484988,0.361446296,0.15144233,0.488635611
ssp126,1917,303.010989,0.377756631,0.14566804,0.498371797
ssp126,1918,303.448987,0.397720814,0.162063757,0.506467787
ssp126,1919,303.813988,0.442648858,0.239844438,0.513207387
ssp126,1920,304.245987,0.380148595,0.208546333,0.521174253
ssp126,1921,304.599988,0.4395535,0.287346953,0.527694471
ssp126,1922,304.944982,0.308577332,0.275488178,0.534041822
ssp126,1923,305.270983,0.281350582,0.219006321,0.540031826
ssp126,1924,305.629984,0.370615851,0.232855922,0.54662335
ssp126,1925,305.812981,0.391280217,0.232616963,0.549980803
ssp126,1926,305.953985,0.420639767,0.23390013,0.552566519
ssp126,1927,306.176987,0.419956471,0.209761519,0.556653841
ssp126,1928,306.32898,0.38759358,0.217583404,0.559437428
ssp126,1929,306.494987,0.2012564,0.19401158,0.562476715
ssp126,1930,306.619977,0.416798475,0.237882726,0.564764001
ssp126,1931,306.821983,0.467402575,0.303714334,0.56845762
ssp126,1932,307.092979,0.370299951,0.367536595,0.573410874
ssp126,1933,307.40198,0.458818998,0.355154009,0.579053443
ssp126,1934,307.784983,0.472319142,0.325187091,0.586041125
ssp126,1935,308.22698,0.47708508,0.303606182,0.594095074
ssp126,1936,309.011973,0.517185378,0.286317731,0.608373553
ssp126,1937,309.763975,0.49974745,0.26586234,0.622020125
ssp126,1938,310.293976,0.540716251,0.317545453,0.631618597
ssp126,1939,310.850975,0.518759599,0.298771337,0.64169047
ssp126,1940,311.356977,0.463542351,0.263260895,0.650825128
ssp126,1941,311.810974,0.438478072,0.254193653,0.659008869
ssp126,1942,312.171977,0.418371952,0.25284912,0.665507422
ssp126,1943,312.389979,0.400072241,0.253501427,0.669422105
ssp126,1944,312.412972,0.419875859,0.268407044,0.669832834
ssp126,1945,312.384977,0.525887912,0.339337221,0.669326227
ssp126,1946,312.389971,0.556618052,0.353319455,0.669413442
ssp126,1947,312.485972,0.547685437,0.29920231,0.671139122
ssp126,1948,312.520968,0.546266864,0.282524369,0.671767887
ssp126,1949,312.631971,0.559621136,0.311215303,0.67376315
ssp126,1950,312.820976,0.474599199,0.260160368,0.677158085
ssp126,1951,313.013972,0.413477145,0.243851031,0.680623044
ssp126,1952,313.341977,0.414575793,0.247285261,0.686507944
ssp126,1953,313.729968,0.404421928,0.250515423,0.69346019
ssp126,1954,314.094968,0.416652182,0.2629193,0.699994297
ssp126,1955,314.41497,0.402009835,0.221308805,0.705715604
ssp126,1956,314.697968,0.431574299,0.191069172,0.710769672
ssp126,1957,314.991961,0.473615447,0.177506105,0.716016098
ssp126,1958,315.344966,0.490932773,0.187755919,0.722311449
ssp126,1959,315.806966,0.442259245,0.171097578,0.730542582
ssp126,1960,316.624967,0.415764878,0.166652919,0.745090451
ssp126,1961,317.298963,0.289636333,0.091889853,0.75705023
ssp126,1962,318.043963,0.111786054,0.103420143,0.770242964
ssp126,1963,318.649963,-0.63469637,0.103205802,0.780951733
ssp126,1964,319.332962,-0.546284146,0.101471053,0.792999842
ssp126,1965,319.815961,-0.213572606,0.103616204,0.801503982
ssp126,1966,320.879957,0.235806088,0.117724163,0.820202221
ssp126,1967,321.479958,0.107530174,0.150979357,0.830718461
ssp126,1968,322.388957,0.204090108,0.153341422,0.846619614
ssp126,1969,323.250956,0.291803716,0.164337093,0.861660248
ssp126,1970,324.782956,0.299550842,0.166098886,0.888306357
ssp126,1971,325.399956,0.191976148,0.198241558,0.899000858
ssp126,1972,327.348953,0.301156356,0.227947169,0.932677572
ssp126,1973,329.908951,0.404258532,0.253707649,0.97663716
ssp126,1974,330.755953,0.388499602,0.304505418,0.991107189
ssp126,1975,330.826955,0.124523236,0.347976718,0.992310178
ssp126,1976,331.54495,0.359449582,0.339787091,1.00454518
ssp126,1977,333.352946,0.520567383,0.385137679,1.0352617
ssp126,1978,335.009949,0.637580426,0.433825855,1.0632785
ssp126,1979,336.604947,0.706597426,0.467396316,1.09012689
ssp126,1980,338.704946,0.720325335,0.526889785,1.12530278
ssp126,1981,340.05895,0.762805854,0.600280291,1.14787264
ssp126,1982,340.643941,0.533054386,0.646020365,1.15759014
ssp126,1983,342.265948,0.072857728,0.708827662,1.18447874
ssp126,1984,344.007947,0.50694657,0.745212528,1.21322786
ssp126,1985,345.458954,0.749419331,0.787716202,1.23706994
ssp126,1986,346.902946,0.806277025,0.830883097,1.26070529
ssp126,1987,348.774946,0.91382896,0.865245085,1.29121782
ssp126,1988,351.275932,1.06421476,0.92252942,1.33175665
ssp126,1989,352.893923,1.20505072,0.969141524,1.35782563
